game_pk,game_type,season,game_date,game_date1,game_date2,game_number,scheduled_innings,innings_played,status_code,home_team,away_team,home_score,away_score
630278,R,2020,2020-08-01 23:10:00+00:00,2020-08-01 23:10:00+00:00,,1,9,9.0,F,164.0,175.0,7.0,1.0
630280,R,2020,2020-08-02 17:10:00+00:00,2020-08-02 17:10:00+00:00,,1,9,9.0,F,164.0,175.0,4.0,0.0
630281,R,2020,2020-08-03 23:10:00+00:00,2020-08-03 23:10:00+00:00,,1,9,9.0,F,164.0,175.0,2.0,7.0
630284,R,2020,2020-08-04 23:10:00+00:00,2020-08-04 23:10:00+00:00,,1,9,9.0,F,164.0,185.0,10.0,1.0
630307,R,2020,2020-08-05 23:10:00+00:00,2020-08-05 23:10:00+00:00,,1,9,9.0,F,164.0,185.0,1.0,2.0
630313,R,2020,2020-08-06 23:10:00+00:00,2020-08-06 23:10:00+00:00,,1,9,9.0,F,164.0,185.0,4.0,3.0
630316,R,2020,2020-08-17 23:10:00+00:00,2020-08-17 23:10:00+00:00,,1,9,,S,164.0,180.0,,
630322,R,2020,2020-08-18 23:10:00+00:00,2020-08-18 23:10:00+00:00,,1,9,,S,164.0,180.0,,
630323,R,2020,2020-08-19 23:10:00+00:00,2020-08-19 23:10:00+00:00,,1,9,,S,164.0,180.0,,
630324,R,2020,2020-08-21 23:10:00+00:00,2020-08-21 23:10:00+00:00,,1,9,,S,164.0,186.0,,
630338,R,2020,2020-08-22 23:10:00+00:00,2020-08-22 23:10:00+00:00,,1,9,,S,164.0,186.0,,
630346,R,2020,2020-07-30 23:10:00+00:00,2020-07-30 23:10:00+00:00,,1,9,9.0,F,164.0,181.0,2.0,1.0
630360,R,2020,2020-08-25 23:10:00+00:00,2020-08-25 23:10:00+00:00,,1,9,,S,164.0,187.0,,
630361,R,2020,2020-08-26 23:10:00+00:00,2020-08-26 23:10:00+00:00,,1,9,,S,164.0,187.0,,
630371,R,2020,2020-09-04 23:10:00+00:00,2020-09-04 23:10:00+00:00,,1,9,,S,164.0,180.0,,
630383,R,2020,2020-09-05 23:10:00+00:00,2020-09-05 23:10:00+00:00,,1,9,,S,164.0,180.0,,
630385,R,2020,2020-09-22 23:10:00+00:00,2020-09-22 23:10:00+00:00,,1,9,,S,164.0,162.0,,
630415,R,2020,2020-09-07 17:10:00+00:00,2020-09-07 17:10:00+00:00,,1,9,,S,164.0,162.0,,
630438,R,2020,2020-09-08 23:10:00+00:00,2020-09-08 23:10:00+00:00,,1,9,,S,164.0,162.0,,
630439,R,2020,2020-09-09 23:10:00+00:00,2020-09-09 23:10:00+00:00,,1,9,,S,164.0,162.0,,
630440,R,2020,2020-09-21 23:10:00+00:00,2020-09-21 23:10:00+00:00,,1,9,,S,164.0,162.0,,
